MatchID,TeamName,IsHomeTeam,IsAwayTeam,Goals,Ball Possession,Total Attempts,Attempts on target,Attempts off target,Attempts against woodwork,Attempts Accuracy,Corners,Offsides,Saves,Tackles won,Clearances,Recovered balls,Fouls committed,Yellow.Cards,Red.Cards,Passes completed,Passes accuracy,Distance covered (m),Distance covered in possession (m),Top Speed (Km/h),Own-goals,Goals scored,Goals_conceded,Own-goals for,Goals scored by right foot,Goals scored by left foot,Goals scored by head,Goals scored by backheel,Goals scored by other part of body,Goals scored in open play,Goals scored on direct free-kcik,Goals scored on indirect free-kcik,Goals scored on penalty ,Goals on corner ,Goals scored in penalty area,Goals scored outside penalty area,Goals on penalty phase,Goals in open play from centre,Goals in open play from left,Goals in open play from right,Attempts blocked,Attempts on bar,Attempts on post,Woodwork (after deflection),Attempts on direct free kick,Attempts on indirect free kick,Attempts from corner,Attempts on target in penalty area,Attempts on target outside penalty area,Attempts off target in penalty area,Attempts off target outside penalty area,Attempts in open play from centre,Attempts in open play from left,Attempts in open play from right,Free kicks on goal ,Instance of possession ,Ball not in play,Crosses attempted,Crosses short,Crosses medium,Crosses long,Crosses completed,Crosses completed short,Crosses completed medium,Crosses completed long,Corners short,Corners medium,Corners long,Corners completed,Corners completed short,Corners completed medium,Corners completed long,Dribbling,Passes attempted,Passes attempted short,Passes attempted medium,Passes attempted long,Passes completed short,Passes completed medium,Passes completed long,Passes received,Passes received short,Passes received medium,Passes received long,Passes accuracy short,Passes accuracy medium,Passes accuracy long,Passes completed forward,Passes completed backward,Passes completed left,Passes completed right,Passes per instance of possession ,Delivery into attacking third,Delivery into key play area,Delivery into penalty area,Delivery into goal area,Solo run into attacking third,Solo run into key play area,Solo run into penalty area,Total Attacks,Attacks from centre,Attacks from right,Attacks from left,Organized attack,Counter attack,Clearances successful,Clearances unsuccesful,Tackles,Tackles lost,Tackles performed gaining the ball,Tackles performed not gaining the ball,Tackles suffered,Tackles suffered losing the ball,Tackles suffered not losing the ball,Lost balls,Lost balls own half,Lost balls opposite half,Change of possession,Blocks,Throw-in,Goals conceded from open play ,Goals conceded from set pieces,Goals conceded in penalty area,Goals conceded outside penalty area,Saves in open play,Saves on set pieces,Saves on direct free kick,Saves on indirect free kick,Saves on penalty,Saves on corner,Saves in open play from centre,Saves in open play from left,Saves in open play from right,Punches,High Claims,Low Claims,Goalkeeper kicks attempted,Goalkeeper kicks short,Goalkeeper kicks medium,Goalkeeper kicks long,Goalkeeper kicks completed,Goalkeeper kicks completed short,Goalkeeper kicks completed medium,Goalkeeper kicks completed long,Goalkeeper kicks completed %,Played Time,Fouls suffered,Fouls committed own half,Fouls committed opposite half,Fouls suffered own half,Fouls suffered opposite half,Penalty fouls,Handball,Simulation,Offsides suffered,Distance covered in low activity (m),Distance covered in medium activity (m),Distance covered in high activity (m),Distance covered in very high activity (m),Distance covered in low activity (%),Distance covered in medium activity (%),Distance covered in high activity (%),Distance covered in very high activity (%),Average distance covered,Average distance covered in low activity ,Average distance covered in medium activity ,Average distance covered in high activity ,Average distance covered in very high activity covered,Time spent in low activity (%),Time spent in medium activity (%),Time spent in high activity (%),Time spent in very high activity (%),Time spent in low activity,Time spent in medium activity,Time spent in high activity,Time spent in very high activity,Sprints,Assists,Distance covered (Km),Distance covered in possession (Km),Matches played,Goals on set pieces,Attempts blocked outside penalty area,Distance covered not in possession (m),Distance covered not in possession (Km),Attempts set pieces,Attempts in open play,Attempts on throw in,Saves on attempts inside penalty area,Saves on attempts outside penalty area,Team average speed,Big Chances
2024442,Austria,TRUE,FALSE,3,60,11,7,2,0,64,4,1,1,7,7,51,13,1,0,484,81,110173,46945,32.4,0,3,1,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,2,1,2,0,0,0,0,0,0,6,1,1,1,11,0,0,0,204,03:39.3,15,0,8,7,6,0,4,2,0,2,2,1,0,1,0,3,595,142,377,76,107,330,47,484,107,330,47,0.754,0.875,0.618,112,97,139,136,2.917,54,31,18,1,16,8,0,47,13,13,21,30,1,5,2,11,4,5,6,6,1,5,73,32,41,186,2,34,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,5,0,1,4,3,0,1,2,60,36:17.7,16,4,9,13,3,0,0,0,0,61860,19817,20458,8038,56,18,19,7,10465,5695,1946,2022,802,82,9,7,2,12:11.6,35:35.0,15:02.0,20:44.0,358,3,110.17,46.94,1,0,2,33790,33.79,0,11,0,1,0,6.7,1
2024442,North Macedonia,FALSE,TRUE,1,40,7,2,3,0,29,0,0,4,4,15,37,16,2,0,254,72,106114,30300,30.8,0,1,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,2,4,1,2,0,198,14:33.9,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,353,117,174,62,78,144,32,255,78,144,32,0.667,0.828,0.516,76,44,65,69,1.783,23,9,2,0,7,3,0,21,3,4,14,9,0,13,2,10,6,1,4,10,5,5,86,43,42,180,2,35,3,0,3,0,4,0,0,0,0,0,6,0,0,6,3,0,7,0,0,7,4,0,0,4,57,36:17.7,13,3,13,9,4,0,0,0,1,61234,18320,19647,6913,58,16,19,7,10196,5771,1803,1934,688,83,8,7,2,27:11.1,1:28:38,12:05.0,17:57.8,297,0,106.11,30.3,1,0,0,46815,46.81,0,7,0,3,1,6.5,0
2024486,Belgium,TRUE,FALSE,1,46,10,3,2,0,30,9,1,2,6,18,34,16,1,0,390,84,106080,34869,32,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,1,7,1,1,0,178,12:54.3,16,2,9,5,1,0,0,0,2,5,2,3,2,1,0,21,464,88,320,56,72,284,34,390,72,284,34,0.818,0.888,0.607,84,61,103,142,2.607,29,13,5,1,11,9,8,36,8,13,15,28,1,16,2,15,9,7,6,13,3,10,69,47,21,160,4,24,2,0,1,1,2,0,0,0,0,0,2,2,1,1,0,1,6,5,1,0,6,5,1,0,100,39:24.0,13,7,9,11,2,0,0,0,2,59528,17825,20610,8117,56,17,19,8,10187,5586,1755,2040,806,83,8,7,2,58:22.8,26:03.9,15:39.2,21:04.9,350,0,106.08,34.86,1,1,3,43649,43.64,1,9,0,0,1,6.1,1
2024486,Italy,FALSE,TRUE,2,54,14,3,7,0,21,5,2,2,2,19,45,13,2,0,492,90,112595,41675,32.8,0,2,1,0,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,4,0,0,0,0,0,0,1,2,4,3,8,4,2,0,177,08:10.0,9,0,5,4,3,0,2,0,0,3,2,1,0,1,0,12,549,173,312,64,157,287,48,492,157,287,48,0.908,0.92,0.75,118,88,137,149,3.102,43,30,16,0,26,22,12,53,8,13,32,37,0,17,2,14,12,3,11,13,7,6,67,34,31,159,5,19,0,1,1,0,2,0,0,0,0,0,5,1,1,0,1,3,3,0,1,1,1,0,1,0,33,39:24.0,16,2,11,9,7,1,0,0,1,61025,19243,22700,9627,54,17,20,9,10780,5682,1898,2245,955,81,9,8,2,32:30.6,32:33.7,22:51.7,24:55.8,415,1,112.59,41.67,1,0,0,40761,40.76,0,14,0,2,0,6.5,0
2024479,Belgium,TRUE,FALSE,1,44,6,1,4,0,17,0,1,5,7,24,44,14,2,0,406,84,107620,37799,32.6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,3,2,0,0,171,08:39.9,5,0,3,2,1,0,0,1,0,0,0,0,0,0,0,14,482,126,289,67,106,257,43,406,106,257,43,0.841,0.889,0.642,99,65,123,119,2.819,29,13,1,0,11,11,2,17,1,6,10,17,3,9,15,17,10,7,5,14,10,4,75,38,37,158,5,22,0,0,0,0,4,1,1,0,0,0,6,1,1,0,4,3,13,2,7,3,10,2,7,1,77,38:06.8,8,8,6,4,4,0,1,0,3,62443,18271,19033,7873,58,17,18,7,10329,5853,1807,1889,780,83,8,7,2,41:01.7,28:14.4,09:45.2,20:14.9,332,1,107.62,37.79,1,0,0,49219,49.21,1,5,0,4,1,6.8,0
2024479,Portugal,FALSE,TRUE,0,56,24,5,14,1,21,3,3,0,11,6,51,9,3,0,559,88,107145,44734,30.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,2,0,0,4,1,4,10,18,3,1,1,174,01:01.6,21,1,7,13,5,0,0,5,1,0,2,2,1,0,1,17,637,164,392,81,149,357,53,559,149,357,53,0.909,0.911,0.654,115,93,178,173,3.661,43,44,16,1,27,16,7,61,16,24,21,34,1,3,3,19,8,10,4,12,7,5,66,22,43,158,1,22,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,5,2,2,1,5,2,2,1,100,38:06.8,13,4,5,6,7,0,0,0,1,63084,16996,19417,7648,59,16,18,7,10314,5958,1670,1922,764,84,7,7,2,52:28.2,1:22:08,11:15.0,19:53.5,341,0,107.14,44.73,1,0,3,41003,41,2,22,0,0,0,6.5,0
2024450,Belgium,TRUE,FALSE,3,62,9,4,3,0,44,2,0,1,1,18,37,9,0,0,647,90,110994,50801,30.2,0,3,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,1,1,1,2,0,0,0,0,0,0,4,0,2,1,7,0,2,0,182,58:35.4,7,0,5,2,0,0,0,0,0,0,2,0,0,0,0,8,722,140,522,60,114,485,48,647,114,485,48,0.814,0.929,0.8,119,112,214,202,3.967,35,18,1,0,12,15,5,36,6,16,14,26,0,15,3,4,3,0,1,13,7,6,77,33,44,166,1,35,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,7,0,6,1,7,0,6,1,100,36:01.0,10,7,2,8,2,0,1,0,4,60757,20932,21641,7664,55,18,20,7,10631,5657,2058,2151,765,81,9,8,2,03:45.8,41:18.8,19:37.3,19:57.4,344,2,110.99,50.8,1,0,2,36565,36.56,0,9,0,1,0,6.8,0
2024450,Russia,FALSE,TRUE,0,38,5,1,3,0,20,4,4,1,8,15,47,11,0,0,293,77,115118,33786,30.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,3,1,0,0,182,13:01.7,14,2,7,5,3,0,1,2,0,1,3,1,0,0,1,6,380,70,234,76,52,201,40,293,52,201,40,0.743,0.859,0.526,66,60,82,85,2.088,28,21,3,0,4,0,2,30,5,14,11,13,1,11,4,16,8,7,6,1,0,1,71,38,33,169,2,26,3,0,3,0,1,0,0,0,0,0,2,0,1,2,0,2,6,1,1,4,5,1,1,3,83,36:01.0,8,2,9,2,6,0,1,0,0,62507,21284,23372,7955,54,19,20,7,11043,5820,2107,2323,793,80,10,8,2,55:42.3,42:58.9,25:55.2,20:49.1,365,0,115.11,33.78,1,0,0,58140,58.13,1,4,0,1,0,7,0
2024462,Croatia,TRUE,FALSE,1,50,11,2,6,0,18,4,1,0,3,17,39,7,1,0,364,82,101193,37637,31,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,2,0,2,4,9,1,0,0,194,07:51.2,18,2,9,7,3,0,0,2,1,1,2,3,1,1,1,10,443,90,287,66,71,253,40,364,71,253,40,0.789,0.882,0.606,90,66,105,103,2.284,27,10,9,1,11,9,6,35,5,10,20,24,0,10,7,9,6,5,4,13,5,8,74,41,31,178,3,30,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,10,1,6,3,8,1,6,1,80,36:40.3,12,4,3,6,6,1,0,0,2,56073,16580,19740,8800,55,16,20,9,9813,5325,1642,1967,879,82,9,7,2,33:00.4,18:56.3,11:18.5,22:23.5,371,1,101.19,37.63,1,0,1,41289,41.28,1,10,0,0,0,6.2,1
2024462,Czech Republic,FALSE,TRUE,1,50,11,1,7,0,9,4,2,1,3,23,43,12,3,0,371,81,113982,43743,31.7,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,5,2,8,1,0,0,188,07:37.2,20,1,12,7,7,0,3,3,0,2,2,3,0,2,1,6,458,119,274,65,98,233,40,371,98,233,40,0.824,0.85,0.615,102,73,98,98,2.436,28,12,9,3,12,12,8,39,8,14,17,20,2,17,6,13,10,5,8,9,5,4,71,33,36,178,3,30,1,0,1,0,1,0,0,0,0,0,4,0,0,0,3,1,8,0,2,6,4,0,2,2,50,36:40.3,7,6,6,3,4,0,0,0,1,58053,20892,24674,10363,51,18,22,9,10924,5373,2061,2454,1036,78,10,9,3,02:07.7,39:17.8,28:45.8,26:25.8,422,0,113.98,43.74,1,1,1,45595,45.59,2,9,0,1,0,6.9,1
